Тикер,Рыночная цена,Рыночная цена  на дату продажи опциона,Количество позиций шорт,Количество позиций лонг,STRIKE шорт,STRIKE лонг,Премия шорт,Текущая премия шорт,Премия лонг,Текущая премия лонг,Итого премия,Комиссия,Точка безубыточности нижняя,Точка max profit,Число акций в контракте,Начальная инвестиция (маржа),P breakout DOWN,P max profit,P profit empirical,ESP позиции,THETA позиции,GAMMA Position,VEGA Position,Защита от падения,Вероятный статистический доход,Наиболее вероятный ROI спреда в процентах ,Текущий PL позиции ,ROI now,Текущая годовая доходность,Вероятная годовая доходность,Дата сделки,Дата экспирации,Длина позиции,Осталось дней до закрытия,IV short,IV long,HV 200,Контракт short,Контракт long,RATE,DIV,BETA,NOM EXPOSURE on STOCK for HEDGE,ACCOUNT
PFE,"=GOOGLEFINANCE(A2,""price"")",37.1,-4,4,37,34.5,0.69,"=OPTIONDATA(AM2,""PRICE"")",0.08,"=OPTIONDATA(AN2,""PRICE"")",=H2-J2,18.0,=(F2-L2),=F2,100,=((F2-G2)-L2)*P2*E2,"=probbelow(B2,N2,AI2,(AL2))","=probabove(B2,O2,AI2,(AL2))",=((F2-G2)-L2)/(F2-G2),"=(DELTA_PUT(B2,G2,AJ2,AO2,AP2,AI2)*ABS(D2)*P2)-(DELTA_PUT(B2,F2,AK2,AO2,AP2,AI2)*ABS(E2)*P2)","=THETA_PUT(B2,G2,AJ2,AO2,AP2,AI2)*ABS(D2)*P2-THETA_PUT(B2,F2,AK2,AO2,AP2,AI2)*ABS(E2)*P2","=GAMMA_OPTION(B2,G2,AJ2,AO2,AP2,AI2)*ABS(D2)*P2-GAMMA_OPTION(B2,F2,AK2,AO2,AP2,AI2)*ABS(E2)*P2","=VEGA_OPTION(B2,G2,AJ2,AO2,AP2,AI2)*ABS(D2)*P2-VEGA_OPTION(B2,F2,AK2,AO2,AP2,AI2)*ABS(E2)*P2",=(C2-N2)/C2,-274.05699248996365,=Z2/Q2,=(L2-I2+K2)*P2*E2,=AB2/Q2,"=(((AB2/Q2)+1)^(365/(DATEDIF(AF2,TODAY(),""D""))))-1",=(((Z2/Q2)+1)^(365/AH2))-1,45133,45142,9,"=DATEDIF(TODAY(),AG2,""D"")","=OPTIONDATA(AM2,""IV"")","=OPTIONDATA(AN2,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A2,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A2,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",PFE230804P00037000,PFE230804P00034500,0.04,0.044,"=GOOGLEFINANCE(A2,""beta"")",=U2*AQ2*B2,EXANTE
PYPL,"=GOOGLEFINANCE(A3,""price"")",74.1,-2,2,74,66.0,2.92,"=OPTIONDATA(AM3,""PRICE"")",0.42,"=OPTIONDATA(AN3,""PRICE"")",=H3-J3,18.0,=(F3-L3),=F3,100,=((F3-G3)-L3)*P3*E3,"=probbelow(B3,N3,AI3,(AL3))","=probabove(B3,O3,AI3,(AL3))",=((F3-G3)-L3)/(F3-G3),"=(DELTA_PUT(B3,G3,AJ3,AO3,AP3,AI3)*ABS(D3)*P3)-(DELTA_PUT(B3,F3,AK3,AO3,AP3,AI3)*ABS(E3)*P3)","=THETA_PUT(B3,G3,AJ3,AO3,AP3,AI3)*ABS(D3)*P3-THETA_PUT(B3,F3,AK3,AO3,AP3,AI3)*ABS(E3)*P3","=GAMMA_OPTION(B3,G3,AJ3,AO3,AP3,AI3)*ABS(D3)*P3-GAMMA_OPTION(B3,F3,AK3,AO3,AP3,AI3)*ABS(E3)*P3","=VEGA_OPTION(B3,G3,AJ3,AO3,AP3,AI3)*ABS(D3)*P3-VEGA_OPTION(B3,F3,AK3,AO3,AP3,AI3)*ABS(E3)*P3",=(C3-N3)/C3,281.79042495368884,=Z3/Q3,=(L3-I3+K3)*P3*E3,=AB3/Q3,"=(((AB3/Q3)+1)^(365/(DATEDIF(AF3,TODAY(),""D""))))-1",=(((Z3/Q3)+1)^(365/AH3))-1,45134,45142,8,"=DATEDIF(TODAY(),AG3,""D"")","=OPTIONDATA(AM3,""IV"")","=OPTIONDATA(AN3,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A3,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A3,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",PYPL230804P00074000,PYPL230804P00066000,0.04,0.0,"=GOOGLEFINANCE(A3,""beta"")",=U3*AQ3*B3,IB
RIO,"=GOOGLEFINANCE(A4,""price"")",66.11,-2,2,65,60.0,1.7,"=OPTIONDATA(AM4,""PRICE"")",0.3,"=OPTIONDATA(AN4,""PRICE"")",=H4-J4,8.4,=(F4-L4),=F4,100,=((F4-G4)-L4)*P4*E4,"=probbelow(B4,N4,AI4,(AL4))","=probabove(B4,O4,AI4,(AL4))",=((F4-G4)-L4)/(F4-G4),"=(DELTA_PUT(B4,G4,AJ4,AO4,AP4,AI4)*ABS(D4)*P4)-(DELTA_PUT(B4,F4,AK4,AO4,AP4,AI4)*ABS(E4)*P4)","=THETA_PUT(B4,G4,AJ4,AO4,AP4,AI4)*ABS(D4)*P4-THETA_PUT(B4,F4,AK4,AO4,AP4,AI4)*ABS(E4)*P4","=GAMMA_OPTION(B4,G4,AJ4,AO4,AP4,AI4)*ABS(D4)*P4-GAMMA_OPTION(B4,F4,AK4,AO4,AP4,AI4)*ABS(E4)*P4","=VEGA_OPTION(B4,G4,AJ4,AO4,AP4,AI4)*ABS(D4)*P4-VEGA_OPTION(B4,F4,AK4,AO4,AP4,AI4)*ABS(E4)*P4",=(C4-N4)/C4,52.23278669241673,=Z4/Q4,=(L4-I4+K4)*P4*E4,=AB4/Q4,"=(((AB4/Q4)+1)^(365/(DATEDIF(AF4,TODAY(),""D""))))-1",=(((Z4/Q4)+1)^(365/AH4))-1,45135,45156,21,"=DATEDIF(TODAY(),AG4,""D"")","=OPTIONDATA(AM4,""IV"")","=OPTIONDATA(AN4,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A4,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A4,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",RIO230818P00065000,RIO230818P00060000,0.04,0.08,"=GOOGLEFINANCE(A4,""beta"")",=U4*AQ4*B4,EXANTE
EA,"=GOOGLEFINANCE(A5,""price"")",137.6,-1,1,137,125.0,2.45,"=OPTIONDATA(AM5,""PRICE"")",0.15,"=OPTIONDATA(AN5,""PRICE"")",=H5-J5,2.0,=(F5-L5),=F5,100,900,"=probbelow(B5,N5,AI5,(AL5))","=probabove(B5,O5,AI5,(AL5))",=((F5-G5)-L5)/(F5-G5),"=(DELTA_PUT(B5,G5,AJ5,AO5,AP5,AI5)*ABS(D5)*P5)-(DELTA_PUT(B5,F5,AK5,AO5,AP5,AI5)*ABS(E5)*P5)","=THETA_PUT(B5,G5,AJ5,AO5,AP5,AI5)*ABS(D5)*P5-THETA_PUT(B5,F5,AK5,AO5,AP5,AI5)*ABS(E5)*P5","=GAMMA_OPTION(B5,G5,AJ5,AO5,AP5,AI5)*ABS(D5)*P5-GAMMA_OPTION(B5,F5,AK5,AO5,AP5,AI5)*ABS(E5)*P5","=VEGA_OPTION(B5,G5,AJ5,AO5,AP5,AI5)*ABS(D5)*P5-VEGA_OPTION(B5,F5,AK5,AO5,AP5,AI5)*ABS(E5)*P5",=(C5-N5)/C5,1.2333055776981183,=Z5/Q5,=(L5-I5+K5)*P5*E5,=AB5/Q5,"=(((AB5/Q5)+1)^(365/(DATEDIF(AF5,TODAY(),""D""))))-1",=(((Z5/Q5)+1)^(365/AH5))-1,45138,45142,4,"=DATEDIF(TODAY(),AG5,""D"")","=OPTIONDATA(AM5,""IV"")","=OPTIONDATA(AN5,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A5,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A5,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",EA230804P00137000,EA230804P00125000,0.04,0.01,"=GOOGLEFINANCE(A5,""beta"")",=U5*AQ5*B5,IB
MOS,"=GOOGLEFINANCE(A6,""price"")",40.2,-2,2,40,34.0,1.24,"=OPTIONDATA(AM6,""PRICE"")",0.08,"=OPTIONDATA(AN6,""PRICE"")",=H6-J6,2.0,=(F6-L6),=F6,100,900,"=probbelow(B6,N6,AI6,(AL6))","=probabove(B6,O6,AI6,(AL6))",=((F6-G6)-L6)/(F6-G6),"=(DELTA_PUT(B6,G6,AJ6,AO6,AP6,AI6)*ABS(D6)*P6)-(DELTA_PUT(B6,F6,AK6,AO6,AP6,AI6)*ABS(E6)*P6)","=THETA_PUT(B6,G6,AJ6,AO6,AP6,AI6)*ABS(D6)*P6-THETA_PUT(B6,F6,AK6,AO6,AP6,AI6)*ABS(E6)*P6","=GAMMA_OPTION(B6,G6,AJ6,AO6,AP6,AI6)*ABS(D6)*P6-GAMMA_OPTION(B6,F6,AK6,AO6,AP6,AI6)*ABS(E6)*P6","=VEGA_OPTION(B6,G6,AJ6,AO6,AP6,AI6)*ABS(D6)*P6-VEGA_OPTION(B6,F6,AK6,AO6,AP6,AI6)*ABS(E6)*P6",=(C6-N6)/C6,70.72948753333905,=Z6/Q6,=(L6-I6+K6)*P6*E6,=AB6/Q6,"=(((AB6/Q6)+1)^(365/(DATEDIF(AF6,TODAY(),""D""))))-1",=(((Z6/Q6)+1)^(365/AH6))-1,45139,45149,10,"=DATEDIF(TODAY(),AG6,""D"")","=OPTIONDATA(AM6,""IV"")","=OPTIONDATA(AN6,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A6,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A6,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",MOS230811P00040000,MOS230804P00034000,0.04,0.03,"=GOOGLEFINANCE(A6,""beta"")",=U6*AQ6*B6,IB
