TICKER,PROFIT_POINT,LOSS_CLOSE,MIN_DTE,VOLATILITY TYPE,IV_PERCENTILE,IV_STAGE,TREND,Updated
SPY,40,80,60,Percentile,0.25,1,Strong Uptrend,2023-07-17 16:23:57
QQQ,35,80,60,Stage,0.31,1,Strong Uptrend,2023-07-17 16:23:57
IWM,10,80,60,Percentile,0.18,1,Strong Uptrend,2023-07-17 16:23:57
HYG,35,80,60,Percentile,0.38,1,Strong Uptrend,2023-07-17 16:23:57
XLI,20,80,60,Stage,0.25,1,Strong Uptrend,2023-07-17 16:23:57
EWZ,35,80,90,Percentile,0.17,1,Strong Uptrend,2023-07-17 16:23:57
TLT,30,80,60,Stage,0.2,1,Weak downtrend,2023-07-17 16:23:57
XLF,35,80,90,Percentile,0.01,1,Strong Uptrend,2023-07-17 16:23:57
XLE,35,80,90,Stage,0.04,1,Uptrend,2023-07-17 16:23:57
KRE,15,80,60,Percentile,0.83,2,Uptrend,2023-07-17 16:23:57
EEM,40,80,90,Stage,0.34,2,Strong Uptrend,2023-07-17 16:23:57
FXI,20,80,120,Stage,0.53,1,Weak downtrend,2023-07-17 16:23:57
GLD,35,80,90,Percentile,0.23,1,Uptrend,2023-07-17 16:23:57
EWJ,15,80,60,Stage,0.55,1,Strong Uptrend,2023-07-17 16:23:57
SLV,20,80,90,Stage,0.14,1,Uptrend,2023-07-17 16:23:57
GDX,35,80,60,Stage,0.33,1,Weak downtrend,2023-07-17 16:23:57
EFA,20,80,60,Stage,0.41,1,Strong Uptrend,2023-07-17 16:23:57
UNG,10,80,90,Percentile,0.32,1,Strong Uptrend,2023-07-17 16:23:57
USO,35,80,60,Stage,0.23,1,Strong Uptrend,2023-07-17 16:23:57
DIA,35,80,90,Percentile,0.08,1,Strong Uptrend,2023-07-17 16:23:57
XLV,20,80,90,Stage,0.1,1,Strong Uptrend,2023-07-17 16:23:57
XHB,35,80,60,Stage,0.08,1,Strong Uptrend,2023-07-17 16:23:57
XLU,35,80,120,Stage,0.39,1,Uptrend,2023-07-17 16:23:57
XLK,10,80,90,Stage,0.29,1,Strong Uptrend,2023-07-17 16:23:57
XOP,35,80,30,Stage,0.04,1,Strong Uptrend,2023-07-17 16:23:57
XLP,15,80,60,Stage,0.21,1,Uptrend,2023-07-17 16:23:57
XBI,10,80,60,Stage,0.0,1,Strong Uptrend,2023-07-17 16:23:57
KWEB,20,80,90,Stage,0.28,1,Uptrend,2023-07-17 16:23:57
XRT,35,80,90,Percentile,0.08,1,Strong Uptrend,2023-07-17 16:23:57
IYR,45,80,90,Stage,0.38,1,Strong Uptrend,2023-07-17 16:23:57
XLB,15,80,60,Stage,0.14,1,Strong Uptrend,2023-07-17 16:23:57
AAPL,0,80,0,0,0.22,1,Strong Uptrend,2023-07-17 16:23:57
MSFT,0,80,0,0,0.98,2,Strong Uptrend,2023-07-17 16:23:57
GOOGL,0,80,0,0,0.92,2,Weak Uptrend,2023-07-17 16:23:57
AMZN,0,80,0,0,0.75,2,Weak Uptrend,2023-07-17 16:23:57
NVDA,0,80,0,0,0.46,1,Strong Uptrend,2023-07-17 16:23:57
TSLA,0,80,0,0,0.73,2,Weak Uptrend,2023-07-17 16:23:57
META,0,80,0,0,0.95,3,Strong Uptrend,2023-07-17 16:23:57
TSM,0,80,0,0,0.95,2,Weak Uptrend,2023-07-17 16:23:57
V,0,80,0,0,0.44,1,Strong Uptrend,2023-07-17 16:23:57
UNH,0,80,0,0,0.3,1,Uptrend,2023-07-17 16:23:57
XOM,0,80,0,0,0.28,2,Strong Downtrend,2023-07-17 16:23:57
LLY,0,80,0,0,0.37,2,Strong Uptrend,2023-07-17 16:23:57
JNJ,0,80,0,0,0.49,1,Strong Uptrend,2023-07-17 16:23:57
JPM,0,80,0,0,0.08,1,Strong Uptrend,2023-07-17 16:23:57
WMT,0,80,0,0,0.18,2,Strong Uptrend,2023-07-17 16:23:57
NVO,0,80,0,0,0.93,4,Strong Uptrend,2023-07-17 16:23:57
MA,0,80,0,0,0.26,1,Strong Uptrend,2023-07-17 16:23:57
PG,0,80,0,0,0.44,2,Strong Uptrend,2023-07-17 16:23:57
AVGO,0,80,0,0,0.73,2,Strong Uptrend,2023-07-17 16:23:57
HD,0,80,0,0,0.33,1,Strong Uptrend,2023-07-17 16:23:57
CVX,0,80,0,0,0.3,1,Weak downtrend,2023-07-17 16:23:57
ORCL,0,80,0,0,0.64,1,Strong Uptrend,2023-07-17 16:23:57
ASML,0,80,0,0,0.28,1,Weak Uptrend,2023-07-17 16:23:57
MRK,0,80,0,0,0.67,2,Strong Downtrend,2023-07-17 16:23:57
KO,0,80,0,0,0.41,1,Uptrend,2023-07-17 16:23:57
PEP,0,80,0,0,0.18,1,Strong Uptrend,2023-07-17 16:23:57
ABBV,0,80,0,0,0.97,3,Weak downtrend,2023-07-17 16:23:57
BAC,0,80,0,0,0.03,2,Strong Uptrend,2023-07-17 16:23:57
COST,0,80,0,0,0.2,1,Strong Uptrend,2023-07-17 16:23:57
AZN,0,80,0,0,0.32,1,Weak downtrend,2023-07-17 16:23:57
BABA,0,80,0,0,0.36,1,Strong Uptrend,2023-07-17 16:23:57
PFE,0,80,0,0,0.2,1,Weak downtrend,2023-07-17 16:23:57
BHP,0,80,0,0,0.13,1,Strong Uptrend,2023-07-17 16:23:57
MCD,0,80,0,0,0.78,1,Strong Uptrend,2023-07-17 16:23:57
NVS,0,80,0,0,0.56,4,Strong Uptrend,2023-07-17 16:23:57
CRM,0,80,0,0,0.36,1,Strong Uptrend,2023-07-17 16:23:57
CSCO,0,80,0,0,0.33,2,Strong Uptrend,2023-07-17 16:23:57
ADBE,0,80,0,0,0.39,1,Strong Uptrend,2023-07-17 16:23:57
TM,0,80,0,0,0.44,2,Strong Uptrend,2023-07-17 16:23:57
TMO,0,80,0,0,0.67,2,Weak downtrend,2023-07-17 16:23:57
SHEL,0,80,0,0,0.0,1,Strong Uptrend,2023-07-17 16:23:57
AMD,0,80,0,0,0.63,2,Weak Uptrend,2023-07-17 16:23:57
ACN,0,80,0,0,0.35,1,Strong Uptrend,2023-07-17 16:23:57
FMX,0,80,0,0,0.99,1,Weak Uptrend,2023-07-17 16:23:57
NFLX,0,80,0,0,0.93,2,Weak Uptrend,2023-07-17 16:23:57
LIN,0,80,0,0,0.39,2,Strong Uptrend,2023-07-17 16:23:57
ABT,0,80,0,0,0.84,2,Strong Uptrend,2023-07-17 16:23:57
DHR,0,80,0,0,0.71,2,Uptrend,2023-07-17 16:23:57
DIS,0,80,0,0,0.5,3,Strong Downtrend,2023-07-17 16:23:57
CMCSA,0,80,0,0,0.65,1,Strong Uptrend,2023-07-17 16:23:57
NKE,0,80,0,0,0.2,1,Strong Downtrend,2023-07-17 16:23:57
WFC,0,80,0,0,0.01,1,Strong Uptrend,2023-07-17 16:23:57
TMUS,0,80,0,0,0.82,1,Uptrend,2023-07-17 16:23:57
TXN,0,80,0,0,0.45,2,Strong Uptrend,2023-07-17 16:23:57
SAP,0,80,0,0,0.43,1,Weak Uptrend,2023-07-17 16:23:57
NEE,0,80,0,0,0.49,1,Uptrend,2023-07-17 16:23:57
HSBC,0,80,0,0,0.04,1,Strong Uptrend,2023-07-17 16:23:57
VZ,0,80,0,0,0.97,4,Strong Downtrend,2023-07-17 16:23:57
UPS,0,80,0,0,0.68,3,Strong Uptrend,2023-07-17 16:23:57
RTX,0,80,0,0,0.3,1,Strong Downtrend,2023-07-17 16:23:57
MS,0,80,0,0,0.0,1,Uptrend,2023-07-17 16:23:57
TTE,0,80,0,0,0.2,1,Uptrend,2023-07-17 16:23:57
PM,0,80,0,0,0.44,1,Weak Uptrend,2023-07-17 16:23:57
